Nivel,Tipo de Curso,Plan,Cód.,Descripción,Tray.,Año,Mód.,Sem.,Grupo,Turno,Cód.,Descripción,Ruee Calculado,Rule calculado
EDUCACION MEDIA BASICA,FORMACION PROFESIONAL BASICA (EMB),2007,118,GASTRONOMIA,II, 0,1, ,FG1,VESPERTINO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302091,4020094
EDUCACION MEDIA BASICA,FORMACION PROFESIONAL BASICA (EMB),2007,119,BELLEZA - CAPILAR,II, 0,3, ,FC3,NOCTURNO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302091,4020094
EDUCACION MEDIA BASICA,FORMACION PROFESIONAL BASICA (EMB),2007,119,BELLEZA - CAPILAR,III, 0,3, ,FN3,NOCTURNO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302091,4020094
EDUCACION MEDIA BASICA,FORMACION PROFESIONAL BASICA (EMB),2007,119,BELLEZA - CAPILAR,I, 0,5, ,FC5,NOCTURNO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302091,4020094
EDUCACION MEDIA BASICA,FORMACION PROFESIONAL BASICA (EMB),2007,153,CARPINTERIA,I, 0,1, ,FL1,MATUTINO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302091,4020094
EDUCACION MEDIA BASICA,FORMACION PROFESIONAL BASICA (EMB),2007,237,CONSTRUCCION,II, 0,1, ,FR1,NOCTURNO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302091,4020094
EDUCACION MEDIA BASICA,FORMACION PROFESIONAL BASICA (EMB),2007,255,DEPORTE,III, 0,3, ,FJ3,VESPERTINO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302091,4020094
EDUCACION MEDIA BASICA,FORMACION PROFESIONAL BASICA (EMB),2007,255,DEPORTE,II, 0,3, ,FO3,VESPERTINO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302091,4020094
EDUCACION MEDIA BASICA,FORMACION PROFESIONAL BASICA (EMB),2007,25A,DEPORTE Y RECREACION,I, 0,1, ,FJ1,VESPERTINO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302091,4020094
EDUCACION MEDIA BASICA,FORMACION PROFESIONAL BASICA (EMB),2007,297,ELECTRICIDAD,II, 0,3, ,FE3,NOCTURNO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302091,4020094
EDUCACION MEDIA BASICA,FORMACION PROFESIONAL BASICA (EMB),2007,297,ELECTRICIDAD,III, 0,3, ,FQ3,NOCTURNO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302091,4020094
EDUCACION MEDIA BASICA,FORMACION PROFESIONAL BASICA (EMB),2007,668,PANADERIA,II, 0,1, ,FA1,MATUTINO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302091,4020094
EDUCACION MEDIA BASICA,FORMACION PROFESIONAL BASICA (EMB),2007,945,VESTIMENTA P.PUNTO,II, 0,1, ,FB1,NOCTURNO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302091,4020094
EDUCACION MEDIA BASICA,FORMACION PROFESIONAL BASICA (EMB),2007,952,VIVERO,II, 0,1, ,FX1,VESPERTINO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302091,4020094
EDUCACION MEDIA BASICA,FORMACION PROFESIONAL BASICA (EMB),2007,975,INFORMATICA,II, 0,3, ,FM3,NOCTURNO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302091,4020094
EDUCACION MEDIA BASICA,FORMACION PROFESIONAL BASICA (EMB),2007,975,INFORMATICA,III, 0,3, ,FT3,NOCTURNO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302091,4020094
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA PROFESIONAL,2004,007,ADMINISTRACION, , 1,0, ,SA,NOCTURNO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302091,4020094
EDUCACION MEDIA SUPERIOR,EDUCACION MEDIA PROFESIONAL,2004,007,ADMINISTRACION, , 2,0, ,SA,NOCTURNO,35000,CAMPUS REGIONAL EDUC. TECNOLOGICA LITORAL NORTE,1302091,4020094
