CARRERA,DURACIÓN,PLAN DE ESTUDIOS VIGENTE,SERVICIO UNIVERSITARIO,SERVICIO UNIVERSITARIO DE REFERENCIA,ENLACE A INFORMACIÓN INSTITUCIONAL,Nivel,Titulación
LICENCIATURA EN OFTALMOLOGIA,4 AÑOS,2006,MONTEVIDEO_FACULTAD DE MEDICINA,,https://www.fmed.edu.uy/ensenanza/carreras-de-grado/dr-en-medicina,Grado,Licenciado/a
LICENCIATURA EN PSICOMOTRICIDAD,4 AÑOS,2006,MONTEVIDEO_FACULTAD DE MEDICINA,,https://www.fmed.edu.uy/ensenanza/carreras-de-grado/dr-en-medicina,Grado,Licenciado/a
LICENCIATURA EN REGISTROS MEDICOS,4 AÑOS,2006,MONTEVIDEO_FACULTAD DE MEDICINA,,https://www.fmed.edu.uy/ensenanza/carreras-de-grado/dr-en-medicina,Grado,Licenciado/a
LICENCIATURA EN TERAPIA OCUPACIONAL,4 AÑOS,2006,MONTEVIDEO_FACULTAD DE MEDICINA,,https://www.fmed.edu.uy/ensenanza/carreras-de-grado/dr-en-medicina,Grado,Licenciado/a
TECNICATURA EN ANATOMIA PATOLOGICA,3 AÑOS,2006,MONTEVIDEO_FACULTAD DE MEDICINA,,https://www.fmed.edu.uy/ensenanza/carreras-de-grado/dr-en-medicina,Grado,Técnico/a
TECNICATURA EN HEMOTERAPIA,3 AÑOS,2006,MONTEVIDEO_FACULTAD DE MEDICINA,,https://www.fmed.edu.uy/ensenanza/carreras-de-grado/dr-en-medicina,Grado,Técnico/a
TECNICATURA EN PODOLOGIA,3 AÑOS,2006,MONTEVIDEO_FACULTAD DE MEDICINA,,https://www.fmed.edu.uy/ensenanza/carreras-de-grado/dr-en-medicina,Grado,Técnico/a
TECNICATURA EN RADIOISOTOPOS,3 AÑOS,2006,MONTEVIDEO_FACULTAD DE MEDICINA,,https://www.fmed.edu.uy/ensenanza/carreras-de-grado/dr-en-medicina,Grado,Técnico/a
TECNICATURA EN RADIOTERAPIA,3 AÑOS,2006,MONTEVIDEO_FACULTAD DE MEDICINA,,https://www.fmed.edu.uy/ensenanza/carreras-de-grado/dr-en-medicina,Grado,Técnico/a
TECNICATURA EN SALUD OCUPACIONAL,3 AÑOS,2006,MONTEVIDEO_FACULTAD DE MEDICINA,,https://www.fmed.edu.uy/ensenanza/carreras-de-grado/dr-en-medicina,Grado,Técnico/a
TECNOLOGO EN COSMETOLOGIA MEDICA,3 AÑOS,2006,MONTEVIDEO_FACULTAD DE MEDICINA,,https://www.fmed.edu.uy/ensenanza/carreras-de-grado/dr-en-medicina,Grado,Tecnólogo/a
LICENCIATURA EN EDUCACION FISICA,4 AÑOS,2017,MONTEVIDEO_INSTITUTO SUPERIOR DE EDUCACIÓN FÍSICA,,https://isef.udelar.edu.uy/ensenanza/ofertas-de-grado/licenciatura-en-educacion-fisica/,Grado,Licenciado/a
TECNICATURA EN DEPORTES,2 AÑOS,2007,MONTEVIDEO_INSTITUTO SUPERIOR DE EDUCACIÓN FÍSICA,,https://isef.udelar.edu.uy/ensenanza/ofertas-de-grado/tecnicatura/,Grado,Técnico/a
