Ruee_Calculado,Rule_Calculado,GRADO_ANNO,BACHIILER_DIVNOMBRE,Turno,PLAN,MODALIDAD,NOMBRELIC,DescPlan,RUEE_RAD
1218014,3180150,4,,MATUTINO EXTENDIDO,PLAN 2023 EDUCACIÓN MEDIA BÁSICA,ANUAL,CURTINA,https://www.dges.edu.uy/propuesta-educativa/educacion-basica-integrada-plan-2023,
1218014,3180150,4,,MATUTINO EXTENDIDO,PLAN 2023 EDUCACIÓN MEDIA BÁSICA,ANUAL,CURTINA,https://www.dges.edu.uy/propuesta-educativa/educacion-basica-integrada-plan-2023,
1218014,3180150,4,,MATUTINO EXTENDIDO,PLAN 2023 EDUCACIÓN MEDIA BÁSICA,ANUAL,CURTINA,https://www.dges.edu.uy/propuesta-educativa/educacion-basica-integrada-plan-2023,
1218014,3180150,4,,MATUTINO EXTENDIDO,PLAN 2024 EDUCACIÓN MEDIA SUPERIOR,ANUAL,CURTINA,https://www.dges.edu.uy/node/120417,
1218012,3180152,4,,VESPERTINO,PLAN 2013 EXPERIMENTAL EXTRA EDAD,ANUAL,PASO DE LOS TOROS Nº 2,https://www.dges.edu.uy/propuesta-educativa/educacion-basica-plan-2013,
1218012,3180152,4,,VESPERTINO,PLAN 2013 EXPERIMENTAL EXTRA EDAD,SEMESTRAL,PASO DE LOS TOROS Nº 2,https://www.dges.edu.uy/propuesta-educativa/educacion-basica-plan-2013,
1218012,3180152,4,,VESPERTINO,PLAN 2013 EXPERIMENTAL EXTRA EDAD,ANUAL,PASO DE LOS TOROS Nº 2,https://www.dges.edu.uy/propuesta-educativa/educacion-basica-plan-2013,
1218012,3180152,4,,VESPERTINO,PLAN 2013 EXPERIMENTAL EXTRA EDAD,SEMESTRAL,PASO DE LOS TOROS Nº 2,https://www.dges.edu.uy/propuesta-educativa/educacion-basica-plan-2013,
1218012,3180152,4,,VESPERTINO,PLAN 2013 EXPERIMENTAL EXTRA EDAD,ANUAL,PASO DE LOS TOROS Nº 2,https://www.dges.edu.uy/propuesta-educativa/educacion-basica-plan-2013,
1218012,3180152,4,,VESPERTINO,PLAN 2013 EXPERIMENTAL EXTRA EDAD,SEMESTRAL,PASO DE LOS TOROS Nº 2,https://www.dges.edu.uy/propuesta-educativa/educacion-basica-plan-2013,
